Name,Team,Number,Position,Age,Height,Weight,College,Salary,Country
Marvin Williams,Charlotte Hornets,2.0,PF,29.0,06-Sep,237,North Carolina,7000000.0,America
Cody Zeller,Charlotte Hornets,40.0,C,23.0,7-0,240,Indiana,4204200.0,America
Chris Bosh,Miami Heat,1.0,PF,32.0,06-Nov,235,Georgia Tech,22192730.0,America
Luol Deng,Miami Heat,9.0,SF,31.0,06-Sep,220,Duke,10151612.0,America
Goran Dragic,Miami Heat,7.0,PG,30.0,06-Mar,190,,14783000.0,America
Gerald Green,Miami Heat,14.0,SF,30.0,06-Jul,205,,947276.0,America
Udonis Haslem,Miami Heat,40.0,PF,36.0,06-Aug,235,Florida,2854940.0,America
Joe Johnson,Miami Heat,2.0,SF,34.0,06-Jul,240,Arkansas,261894.0,America
Tyler Johnson,Miami Heat,8.0,SG,24.0,06-Apr,186,Fresno State,845059.0,America
Josh McRoberts,Miami Heat,4.0,PF,29.0,06-Oct,240,Duke,5543725.0,America
Josh Richardson,Miami Heat,0.0,SG,22.0,06-Jun,200,Tennessee,525093.0,America
Amar'e Stoudemire,Miami Heat,5.0,PF,33.0,06-Oct,245,,947276.0,America
Dwyane Wade,Miami Heat,3.0,SG,34.0,06-Apr,220,Marquette,20000000.0,America
Briante Weber,Miami Heat,12.0,PG,23.0,06-Feb,165,Virginia Commonwealth,,America
Hassan Whiteside,Miami Heat,21.0,C,26.0,7-0,265,Marshall,981348.0,America
Justise Winslow,Miami Heat,20.0,SF,20.0,06-Jul,225,Duke,2481720.0,America
Dorell Wright,Miami Heat,11.0,SF,30.0,06-Sep,205,,,America
Dewayne Dedmon,Orlando Magic,3.0,C,26.0,7-0,245,USC,947276.0,America
Evan Fournier,Orlando Magic,10.0,SG,23.0,06-Jul,205,,2288205.0,America
Aaron Gordon,Orlando Magic,0.0,PF,20.0,06-Sep,220,Arizona,4171680.0,America
Mario Hezonja,Orlando Magic,23.0,SG,21.0,06-Aug,218,,3741480.0,America
Ersan Ilyasova,Orlando Magic,7.0,PF,29.0,06-Oct,235,,7900000.0,America
Brandon Jennings,Orlando Magic,55.0,PG,26.0,06-Jan,169,,8344497.0,America
Devyn Marble,Orlando Magic,11.0,SF,23.0,06-Jun,200,Iowa,845059.0,America
Shabazz Napier,Orlando Magic,13.0,PG,24.0,06-Jan,175,Connecticut,1294440.0,America
Andrew Nicholson,Orlando Magic,44.0,PF,26.0,06-Sep,250,St. Bonaventure,2380593.0,America
Victor Oladipo,Orlando Magic,5.0,SG,24.0,06-Apr,210,Indiana,5192520.0,America
Elfrid Payton,Orlando Magic,4.0,PG,22.0,06-Apr,185,Louisiana-Lafayette,2505720.0,America
Jason Smith,Orlando Magic,14.0,PF,30.0,7-0,240,Colorado State,4300000.0,America
Nikola Vucevic,Orlando Magic,9.0,C,25.0,7-0,260,USC,11250000.0,America
C.J. Watson,Orlando Magic,32.0,PG,32.0,06-Feb,175,Tennessee,5000000.0,America
Alan Anderson,Washington Wizards,6.0,SG,33.0,06-Jun,220,Michigan State,4000000.0,America
Bradley Beal,Washington Wizards,3.0,SG,22.0,06-May,207,Florida,5694674.0,America
Jared Dudley,Washington Wizards,1.0,SF,30.0,06-Jul,225,Boston College,4375000.0,America
Jarell Eddie,Washington Wizards,8.0,SG,24.0,06-Jul,218,Virginia Tech,561716.0,America
Drew Gooden,Washington Wizards,90.0,PF,34.0,06-Oct,250,Kansas,3300000.0,America
Marcin Gortat,Washington Wizards,13.0,C,32.0,06-Nov,240,,11217391.0,America
JJ Hickson,Washington Wizards,21.0,C,27.0,06-Sep,242,North Carolina State,273038.0,America
Nene Hilario,Washington Wizards,42.0,C,33.0,06-Nov,250,,13000000.0,America
Markieff Morris,Washington Wizards,5.0,PF,26.0,06-Oct,245,Kansas,8000000.0,America
Kelly Oubre Jr.,Washington Wizards,12.0,SF,20.0,06-Jul,205,Kansas,1920240.0,America
Otto Porter Jr.,Washington Wizards,22.0,SF,23.0,06-Aug,198,Georgetown,4662960.0,America
Ramon Sessions,Washington Wizards,7.0,PG,30.0,06-Mar,190,Nevada,2170465.0,America
Garrett Temple,Washington Wizards,17.0,SG,30.0,06-Jun,195,LSU,1100602.0,America
Marcus Thornton,Washington Wizards,15.0,SF,29.0,06-Apr,205,LSU,200600.0,America
John Wall,Washington Wizards,2.0,PG,25.0,06-Apr,195,Kentucky,15851950.0,America
Darrell Arthur,Denver Nuggets,0.0,PF,28.0,06-Sep,235,Kansas,2814000.0,America
D.J. Augustin,Denver Nuggets,12.0,PG,28.0,6-0,183,Texas,3000000.0,America
Will Barton,Denver Nuggets,5.0,SF,25.0,06-Jun,175,Memphis,3533333.0,America
Wilson Chandler,Denver Nuggets,21.0,SF,29.0,06-Aug,225,DePaul,10449438.0,America
Kenneth Faried,Denver Nuggets,35.0,PF,26.0,06-Aug,228,Morehead State,11235955.0,America
Danilo Gallinari,Denver Nuggets,8.0,SF,27.0,06-Oct,225,,14000000.0,America
Gary Harris,Denver Nuggets,14.0,SG,21.0,06-Apr,210,Michigan State,1584480.0,America
Nikola Jokic,Denver Nuggets,15.0,C,21.0,06-Oct,250,,1300000.0,America
Joffrey Lauvergne,Denver Nuggets,77.0,C,24.0,06-Nov,220,,1709719.0,America
Mike Miller,Denver Nuggets,3.0,SG,36.0,06-Aug,218,Florida,947276.0,America
Emmanuel Mudiay,Denver Nuggets,0.0,PG,20.0,06-May,200,,3102240.0,America
Jameer Nelson,Denver Nuggets,1.0,PG,34.0,6-0,190,Saint Joseph's,4345000.0,America
Jusuf Nurkic,Denver Nuggets,23.0,C,21.0,7-0,280,,1842000.0,America
JaKarr Sampson,Denver Nuggets,9.0,SG,23.0,06-Sep,214,St. John's,258489.0,America
Axel Toupane,Denver Nuggets,6.0,SG,23.0,06-Jul,210,,,America
Nemanja Bjelica,Minnesota Timberwolves,88.0,PF,28.0,06-Oct,240,,3950001.0,America
Gorgui Dieng,Minnesota Timberwolves,5.0,C,26.0,06-Nov,241,Louisville,1474440.0,America
Kevin Garnett,Minnesota Timberwolves,21.0,PF,40.0,06-Nov,240,,8500000.0,America
Tyus Jones,Minnesota Timberwolves,1.0,PG,20.0,06-Feb,195,Duke,1282080.0,America
Zach LaVine,Minnesota Timberwolves,8.0,PG,21.0,06-May,189,UCLA,2148360.0,America
Shabazz Muhammad,Minnesota Timberwolves,15.0,SF,23.0,06-Jun,223,UCLA,2056920.0,America
Adreian Payne,Minnesota Timberwolves,33.0,PF,25.0,06-Oct,237,Michigan State,1938840.0,America
Nikola Pekovic,Minnesota Timberwolves,14.0,C,30.0,06-Nov,307,,12100000.0,America
Tayshaun Prince,Minnesota Timberwolves,12.0,SF,36.0,06-Sep,212,Kentucky,947276.0,America
Ricky Rubio,Minnesota Timberwolves,9.0,PG,25.0,06-Apr,194,,12700000.0,America
Damjan Rudez,Minnesota Timberwolves,10.0,SF,29.0,06-Sep,230,,1149500.0,America
Greg Smith,Minnesota Timberwolves,4.0,PF,25.0,06-Oct,250,Fresno State,,America
Karl-Anthony Towns,Minnesota Timberwolves,32.0,C,20.0,7-0,244,Kentucky,5703600.0,America
Andrew Wiggins,Minnesota Timberwolves,22.0,SG,21.0,06-Aug,199,Kansas,5758680.0,America
Steven Adams,Oklahoma City Thunder,12.0,C,22.0,7-0,255,Pittsburgh,2279040.0,America
Nick Collison,Oklahoma City Thunder,4.0,PF,35.0,06-Oct,255,Kansas,3750000.0,America
Kevin Durant,Oklahoma City Thunder,35.0,SF,27.0,06-Sep,240,Texas,20158622.0,America
Randy Foye,Oklahoma City Thunder,6.0,SG,32.0,06-Apr,213,Villanova,3135000.0,America
Josh Huestis,Oklahoma City Thunder,34.0,SF,24.0,06-Jul,230,Stanford,1140240.0,America
Serge Ibaka,Oklahoma City Thunder,9.0,PF,26.0,06-Oct,245,,12250000.0,America
Enes Kanter,Oklahoma City Thunder,11.0,C,24.0,06-Nov,245,Kentucky,16407500.0,America
Mitch McGary,Oklahoma City Thunder,33.0,PF,24.0,06-Oct,255,Michigan,1463040.0,America
Nazr Mohammed,Oklahoma City Thunder,13.0,C,38.0,06-Oct,250,Kentucky,222888.0,America
Anthony Morrow,Oklahoma City Thunder,2.0,SG,30.0,06-May,210,Georgia Tech,3344000.0,America
Cameron Payne,Oklahoma City Thunder,22.0,PG,21.0,06-Mar,185,Murray State,2021520.0,America
Andre Roberson,Oklahoma City Thunder,21.0,SG,24.0,06-Jul,210,Colorado,1210800.0,America
Kyle Singler,Oklahoma City Thunder,5.0,SF,28.0,06-Aug,228,Duke,4500000.0,America
Dion Waiters,Oklahoma City Thunder,3.0,SG,24.0,06-Apr,220,Syracuse,5138430.0,America
Russell Westbrook,Oklahoma City Thunder,0.0,PG,27.0,06-Mar,200,UCLA,16744218.0,America
Cliff Alexander,Portland Trail Blazers,34.0,PF,20.0,06-Aug,240,Kansas,525093.0,America
Al-Farouq Aminu,Portland Trail Blazers,8.0,SF,25.0,06-Sep,215,Wake Forest,8042895.0,America
Pat Connaughton,Portland Trail Blazers,5.0,SG,23.0,06-May,206,Notre Dame,625093.0,America
Allen Crabbe,Portland Trail Blazers,23.0,SG,24.0,06-Jun,210,California,947276.0,America
Ed Davis,Portland Trail Blazers,17.0,C,27.0,06-Oct,240,North Carolina,6980802.0,America
Maurice Harkless,Portland Trail Blazers,4.0,SF,23.0,06-Sep,215,St. John's,2894059.0,America
Gerald Henderson,Portland Trail Blazers,9.0,SG,28.0,06-May,215,Duke,6000000.0,America
Chris Kaman,Portland Trail Blazers,35.0,C,34.0,7-0,265,Central Michigan,5016000.0,America
Meyers Leonard,Portland Trail Blazers,11.0,PF,24.0,07-Jan,245,Illinois,3075880.0,America
Damian Lillard,Portland Trail Blazers,0.0,PG,25.0,06-Mar,195,Weber State,4236287.0,America
C.J. McCollum,Portland Trail Blazers,3.0,SG,24.0,06-Apr,200,Lehigh,2525160.0,America
Luis Montero,Portland Trail Blazers,44.0,SG,23.0,06-Jul,185,Westchester CC,525093.0,America
Mason Plumlee,Portland Trail Blazers,24.0,C,26.0,06-Nov,235,Duke,1415520.0,America
Brian Roberts,Portland Trail Blazers,2.0,PG,30.0,06-Jan,173,Dayton,2854940.0,America
Noah Vonleh,Portland Trail Blazers,21.0,PF,20.0,06-Sep,240,Indiana,2637720.0,America
Trevor Booker,Utah Jazz,33.0,PF,28.0,06-Aug,228,Clemson,4775000.0,America
Trey Burke,Utah Jazz,3.0,PG,23.0,06-Jan,191,Michigan,2658240.0,America
Alec Burks,Utah Jazz,10.0,SG,24.0,06-Jun,214,Colorado,9463484.0,America
Dante Exum,Utah Jazz,11.0,PG,20.0,06-Jun,190,,3777720.0,America
Derrick Favors,Utah Jazz,15.0,PF,24.0,06-Oct,265,Georgia Tech,12000000.0,America
Rudy Gobert,Utah Jazz,27.0,C,23.0,07-Jan,245,,1175880.0,America
Gordon Hayward,Utah Jazz,20.0,SF,26.0,06-Aug,226,Butler,15409570.0,America
Rodney Hood,Utah Jazz,5.0,SG,23.0,06-Aug,206,Duke,1348440.0,America
Joe Ingles,Utah Jazz,2.0,SF,28.0,06-Aug,226,,2050000.0,America
Chris Johnson,Utah Jazz,23.0,SF,26.0,06-Jun,206,Dayton,981348.0,America
Trey Lyles,Utah Jazz,41.0,PF,20.0,06-Oct,234,Kentucky,2239800.0,America
Shelvin Mack,Utah Jazz,8.0,PG,26.0,06-Mar,203,Butler,2433333.0,America
Raul Neto,Utah Jazz,25.0,PG,24.0,06-Jan,179,,900000.0,America
Tibor Pleiss,Utah Jazz,21.0,C,26.0,07-Mar,256,,2900000.0,America
Jeff Withey,Utah Jazz,24.0,C,26.0,7-0,231,Kansas,947276.0,America
